"B044";"Sitar Sitar";"Guitar/Plucked"
"B045";"Tinklin' Pad";"MotionSynth"
"B046";"SopranoSax Br.-Y";"Woodwind/Reed"
"B047";"The Great Wall";"SE"
"B048";"Mega Big Synth";"FastSynth"
"B049";"Clav";"Keyboard"
"B050";"Percussive Hits";"Hit/Arpg"
"B051";"Drum'n'Bass Bass";"Bass/Synth Bass"
"B052";"Psycho Pitch Kit";"Drums"
"B053";"Woh Voices";"Vocal/Airy"
"B054";"Classic Fanfare";"Brass"
"B055";"Blasta Brasster";"FastSynth"
"B056";"Strato-Chime";"Guitar/Plucked"
"B057";"Clouds of Air";"SlowSynth"
"B058";"Nu Skool Bleeps";"LeadSynth"
"B059";"Stein Bass";"Bass/Synth Bass"
"B060";"Joystick Gtr(-Y)";"Guitar/Plucked"
"B061";"Transformation";"MotionSynth"
"B062";"DoubleReed";"Woodwind/Reed"
"B063";"<Techno Vox Box>";"SE"
"B064";"InverseSQwave";"FastSynth"
"B065";"Warm E.Grand";"Keyboard"
"B066";"VCF Sample&Hold";"Hit/Arpg"
"B067";"AnalogStrings1&2";"Strings"
"B068";"Dragon Gong";"Drums"
"B069";"Tekno Organ*Bass";"Bass/Synth Bass"
"B070";"5th Sweeper";"FastSynth"
"B071";"Dark Jazz-Organ";"Organ"
"B072";"Hybrid Bell";"Bell/Mallet"
"B073";"Digi Ice Pad";"SlowSynth"
"B074";"Detune Leader";"LeadSynth"
"B075";"House Bass";"Bass/Synth Bass"
"B076";"SingleCoil+Piezo";"Guitar/Plucked"
"B077";"BPF Sweep Pad";"MotionSynth"
"B078";"Night Tines EP";"Keyboard"
"B079";"Sonic Blast";"SE"
"B080";"Future Syn Pad";"FastSynth"
"B081";"SynPiano X";"Keyboard"
"B082";"Jungle Melody";"Hit/Arpg"
"B083";"Ana Bass 1";"Bass/Synth Bass"
"B084";"Drum'n'Bass Kit";"Drums"
"B085";"Fresh Breath";"Vocal/Airy"
"B086";"Fat Brass";"Brass"
"B087";"Turn Back Stab";"FastSynth"
"B088";"Tropico Bells";"Bell/Mallet"
"B089";"Simple Sine Pad";"SlowSynth"
"B090";"Seq DDL Lead";"LeadSynth"
"B091";"2 Step Bass";"Bass/Synth Bass"
"B092";"Koto";"Guitar/Plucked"
"B093";"Astral Dreams";"MotionSynth"
"B094";"Musette";"Woodwind/Reed"
"B095";"Dark Night";"SE"
"B096";"Metalic Rez";"FastSynth"
"B097";"Dyno Tine EP";"Keyboard"
"B098";"Goa Message";"Hit/Arpg"
"B099";"PizzicatoSection";"Strings"
"B100";"Orchestra&Ethnic";"Drums"
"B101";"The Tea-Bea";"Bass/Synth Bass"
"B102";"Synth Sweeper";"FastSynth"
"B103";"Church Pipes";"Organ"
"B104";"Tinkle Bells";"Bell/Mallet"
"B105";"Noble Brite Pad";"SlowSynth"
"B106";"Old & Analog";"LeadSynth"
"B107";"Nu Skool Bass";"Bass/Synth Bass"
"B108";"Funkin' Guitar";"Guitar/Plucked"
"B109";"Spectrum Alloy";"MotionSynth"
"B110";"HarpsyKorg 8'+4'";"Keyboard"
"B111";"VenusianStories";"SE"
"B112";"SynthBrass";"FastSynth"
"B113";"Phantom Of Tine";"Keyboard"
"B114";"Rave Synth";"Hit/Arpg"
"B115";"Dark R&B Bass";"Bass/Synth Bass"
"B116";"BD&SD Kit 2";"Drums"
"B117";"Take Voices";"Vocal/Airy"
"B118";"Glen & The Boys";"Brass"
"B119";"Dual Filterz";"FastSynth"
"B120";"Future Bell";"Bell/Mallet"
"B121";"Ultra Res. Sweep";"SlowSynth"
"B122";"Glide Lead";"LeadSynth"
"B123";"Nasty Bass";"Bass/Synth Bass"
"B124";"Vintage Stratt";"Guitar/Plucked"
"B125";"Symphonic Waves";"MotionSynth"
"B126";"AltoSax2Breath-Y";"Woodwind/Reed"
"B127";"DJ Touch";"SE"
"C000";"EuphoricTrancer";"FastSynth"
"C001";"Attack Piano";"Keyboard"
"C002";"Scattersynth";"MotionSynth"
"C003";"StSlowStringsEXP";"Strings"
"C004";"HipHop Kit";"Drums"
"C005";"Ana Bass 2";"Bass/Synth Bass"
"C006";"SFZ Brass ST";"Brass"
"C007";"Gospel PercOrgan";"Organ"
"C008";"Marimba";"Bell/Mallet"
"C009";"Symphonic Ensemb";"SlowSynth"
"C010";"BrightPulseLead";"LeadSynth"
"C011";"DistortedTeaBea";"Bass/Synth Bass"
"C012";"Nylon Guitar 1";"Guitar/Plucked"
"C013";"Gating Voice Pad";"MotionSynth"
"C014";"Spitz Bottle";"Woodwind/Reed"
"C015";"MotionSoundTrack";"SE"
"C016";"Rez. Sweep";"FastSynth"
"C017";"EP Dark mf/f";"Keyboard"
"C018";"StaccatoPizzHit";"Hit/Arpg"
"C019";"WatcherOfTheSky";"Strings"
"C020";"Standard Kit 2";"Drums"
"C021";"Choir of Light";"Vocal/Airy"
"C022";"Trumpet";"Brass"
"C023";"Percussion BX3";"Organ"
